pair,seen_at,obs_at,start_time,mins_to_start,fair1,fair2,quote1,quote2,limit_usd,version
andreeva|m|fernandez|l,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 10:30:00,568.9,0.7672974904764074,0.2327025095235926,0.7792494481236203,0.24509803921568626,6000,3740892327
guth|m|hatouka|y,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 06:30:00,328.9,0.4182652954378177,0.5817347045621825,0.4464285714285714,0.609375,550,3740890104
boyer|t|legout|t,2026-09-25 01:01:04,2026-09-25 00:48:15,2026-09-25 18:00:00,1018.9,0.5,0.5,0.5192307692307692,0.5192307692307692,200,3740896906
caniato|c|clarke|j,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 16:00:00,898.9,0.5242005672154525,0.4757994327845475,0.5433789954337899,0.49504950495049505,200,3740895013
forejtek|j|gill|f,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 14:00:00,778.9,0.4047747036924843,0.5952252963075155,0.42372881355932196,0.613899613899614,1500,3740896268
glinka|d|prizmic|d,2026-09-25 01:01:04,2026-09-25 01:01:04,2026-09-25 11:00:00,598.9,0.1819262742470487,0.8180737257529513,0.19920318725099603,0.8341625207296849,1350,3740897250
birrell|k|volynets|k,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 03:00:00,118.9,0.2537414023144069,0.7462585976855931,0.26881720430107525,0.7607655502392345,4000,3740883079
blanch|d|moeller|m,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 11:30:00,628.9,0.45733274003751495,0.5426672599624851,0.47619047619047616,0.5614035087719298,1500,3740895076
cardozo|j|varillas|j,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 19:00:00,1078.9,0.5952252963075155,0.4047747036924843,0.613899613899614,0.42372881355932196,1500,3740894307
droguet|t|lajal|m,2026-09-25 01:01:04,2026-09-25 01:01:04,2026-09-25 15:30:00,868.9,0.5070107238387499,0.4929892761612501,0.5238095238095238,0.5098039215686274,1800,3740897528
faria|j|gaston|h,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 12:00:00,658.9,0.642850056439379,0.35714994356062113,0.6598639455782314,0.37453183520599254,2400,3740889111
abe|h|shimizu|e,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 01:00:00,-1.1,0.72716790725985,0.27283209274014997,0.7506234413965087,0.2976190476190476,750,3740894044
cengiz|b|shi|h,2026-09-25 01:01:04,2026-09-25 01:01:04,2026-09-25 11:00:00,598.9,0.3763920645146644,0.6236079354853357,0.4,0.646643109540636,1050,3740897927
olivetti|t|poonacha|g,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 07:45:00,403.9,0.6409904369851078,0.3590095630148923,0.6644295302013422,0.38314176245210724,375,3740892780
brancaccio|n|grabher|j,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 17:30:00,988.9,0.43120350787471884,0.5687964921252813,0.45454545454545453,0.5918367346938775,275,3740883763
tracy|f|zhang|f,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 09:30:00,508.9,0.7051239056665737,0.2948760943334264,0.7304582210242588,0.3215434083601286,375,3740892964
republic|c|spain|,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 09:00:00,478.9,0.8371820370561494,0.16281796294385076,0.8595505617977528,0.18796992481203006,50,3740883375
brooksby|j|sonego|l,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 05:00:00,238.9,0.5197859544359869,0.48021404556401315,0.5370370370370371,0.49751243781094534,2400,3740882173
iatcenko|p|zaytseva|k,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 09:00:00,478.9,0.6479142731881701,0.35208572681182987,0.6710526315789473,0.37593984962406013,1050,3740877092
